process_name,component_id,component_name,component_type,component_subtype,component_version,component_current_version,component_branch,deployment_id,environment_id,deployed_date,deployed_by,package_version
[Main] WCX Registrants to SF Int Q,b2f73c60-f715-4106-8dc2-7eafb2d302cd,[WCX] POST Query,connector-action,http,10,True,main,7a65bc0a-92b1-4823-95b0-a5e70bab7fb2,e994923b-34fe-4e3c-9d6e-5d586bccfe52,2025-03-24T14:58:18Z,andy.strubhar@argano.com,9.2
[Main] WCX Registrants to SF Int Q,98d53aa3-d9e2-4116-bcf4-9b76248f8573,[WCX] Webconnex API,connector-settings,http,6,True,main,7a65bc0a-92b1-4823-95b0-a5e70bab7fb2,e994923b-34fe-4e3c-9d6e-5d586bccfe52,2025-03-24T14:58:18Z,andy.strubhar@argano.com,9.2
[Main] Mission Unit and Territory Manager,8052a831-f173-41c2-b108-3c48d7c2ba3e,[Salesforce] Territory2 UPSERT,connector-action,salesforce,3,True,main,fb1501ec-a749-47f7-a14d-da1ab344b3f1,e994923b-34fe-4e3c-9d6e-5d586bccfe52,2025-09-26T17:51:46Z,mamiller@sc.younglife.org,13.4.0
[Main] Mission Unit and Territory Manager,b0e32b77-b5fd-40ca-a924-c1422d8b51f0,[WQL] POST Access Token Request,connector-action,http,20,True,main,fb1501ec-a749-47f7-a14d-da1ab344b3f1,e994923b-34fe-4e3c-9d6e-5d586bccfe52,2025-09-26T17:51:46Z,mamiller@sc.younglife.org,13.4.0
[Main] Mission Unit and Territory Manager,7fc9f57d-5324-4817-9d18-bba76932245b,[WQL] POST Custom Query,connector-action,http,19,True,main,fb1501ec-a749-47f7-a14d-da1ab344b3f1,e994923b-34fe-4e3c-9d6e-5d586bccfe52,2025-09-26T17:51:46Z,mamiller@sc.younglife.org,13.4.0
[Main] Mission Unit and Territory Manager,3ae0b595-e0cf-4330-9ad1-83b778545ea0,[Salesforce] Territory2Type QUERY,connector-action,salesforce,3,True,main,fb1501ec-a749-47f7-a14d-da1ab344b3f1,e994923b-34fe-4e3c-9d6e-5d586bccfe52,2025-09-26T17:51:46Z,mamiller@sc.younglife.org,13.4.0
[Main] Mission Unit and Territory Manager,790a6999-a5c3-4b85-990c-c6cb69488fdf,[YLGlobal] Mission Unit QUERY By MUCode,connector-action,officialboomi-X3979C-dbv2da-prod,17,True,main,fb1501ec-a749-47f7-a14d-da1ab344b3f1,e994923b-34fe-4e3c-9d6e-5d586bccfe52,2025-09-26T17:51:46Z,mamiller@sc.younglife.org,13.4.0
[Main] Mission Unit and Territory Manager,7dfbe045-b021-4912-b1bf-7be8dd477e13,[AWS RDS] YLGlobal integrationuser - SET BY EXTENSIONS,connector-settings,officialboomi-X3979C-dbv2da-prod,31,True,main,fb1501ec-a749-47f7-a14d-da1ab344b3f1,e994923b-34fe-4e3c-9d6e-5d586bccfe52,2025-09-26T17:51:46Z,mamiller@sc.younglife.org,13.4.0
[Main] Mission Unit and Territory Manager,4fc0b8bb-1910-44c6-99e7-5647db22fda1,[YLGlobal] MissionUnit INSERT,connector-action,officialboomi-X3979C-dbv2da-prod,13,True,main,fb1501ec-a749-47f7-a14d-da1ab344b3f1,e994923b-34fe-4e3c-9d6e-5d586bccfe52,2025-09-26T17:51:46Z,mamiller@sc.younglife.org,13.4.0
[Main] Mission Unit and Territory Manager,e4dd4cb9-290a-4d9d-9531-6c201be0fd99,[Salesforce] MissionUnit__c QUERY By MU Code,connector-action,salesforce,4,True,main,fb1501ec-a749-47f7-a14d-da1ab344b3f1,e994923b-34fe-4e3c-9d6e-5d586bccfe52,2025-09-26T17:51:46Z,mamiller@sc.younglife.org,13.4.0
[Main] Mission Unit and Territory Manager,4cf91322-a7fd-436c-9ece-8b67a8b0001b,[YLGlobal] usp_BuildMissionUnitRelations EXECUTE,connector-action,officialboomi-X3979C-dbv2da-prod,1,True,main,fb1501ec-a749-47f7-a14d-da1ab344b3f1,e994923b-34fe-4e3c-9d6e-5d586bccfe52,2025-09-26T17:51:46Z,mamiller@sc.younglife.org,13.4.0
[Main] Mission Unit and Territory Manager,e3c5a798-ecd9-4cd5-ab88-17c4e5e5f71f,[Workday] ISU_YL_Integrations - SET BY EXTENSIONS,connector-settings,workday,9,True,main,fb1501ec-a749-47f7-a14d-da1ab344b3f1,e994923b-34fe-4e3c-9d6e-5d586bccfe52,2025-09-26T17:51:46Z,mamiller@sc.younglife.org,13.4.0
[Main] Mission Unit and Territory Manager,d67f8b32-17cc-462f-9849-8315992cc5cb,[Workday] Get_Organizations EXECUTE,connector-action,workday,8,True,main,fb1501ec-a749-47f7-a14d-da1ab344b3f1,e994923b-34fe-4e3c-9d6e-5d586bccfe52,2025-09-26T17:51:46Z,mamiller@sc.younglife.org,13.4.0
[Main] Mission Unit and Territory Manager,6841ff34-fbfb-493f-8799-a2ec4fbe2594,[YLGlobal] MissionUnit UPSERT,connector-action,officialboomi-X3979C-dbv2da-prod,4,True,main,fb1501ec-a749-47f7-a14d-da1ab344b3f1,e994923b-34fe-4e3c-9d6e-5d586bccfe52,2025-09-26T17:51:46Z,mamiller@sc.younglife.org,13.4.0
